ddg.call	return.used	return.node.id
FUN(newX[,i],...)	FALSE	265
FUN(newX[,i],...)	FALSE	266
FUN(newX[,i],...)	FALSE	267
FUN(newX[,i],...)	FALSE	268
FUN(newX[,i],...)	FALSE	269
FUN(newX[,i],...)	FALSE	270
FUN(newX[,i],...)	FALSE	271
FUN(newX[,i],...)	FALSE	272
FUN(newX[,i],...)	FALSE	273
FUN(newX[,i],...)	FALSE	274
FUN(newX[,i],...)	FALSE	275
FUN(newX[,i],...)	FALSE	276
FUN(newX[,i],...)	FALSE	277
FUN(newX[,i],...)	FALSE	278
FUN(newX[,i],...)	FALSE	279
FUN(newX[,i],...)	FALSE	280
FUN(newX[,i],...)	FALSE	281
FUN(newX[,i],...)	FALSE	282
FUN(newX[,i],...)	FALSE	283
FUN(newX[,i],...)	FALSE	284
FUN(newX[,i],...)	FALSE	285
FUN(newX[,i],...)	FALSE	286
FUN(newX[,i],...)	FALSE	287
FUN(newX[,i],...)	FALSE	288
FUN(newX[,i],...)	FALSE	289
FUN(newX[,i],...)	FALSE	290
FUN(newX[,i],...)	FALSE	291
FUN(newX[,i],...)	FALSE	292
FUN(newX[,i],...)	FALSE	293
FUN(newX[,i],...)	FALSE	294
FUN(newX[,i],...)	FALSE	295
FUN(newX[,i],...)	FALSE	296
FUN(newX[,i],...)	FALSE	297
FUN(newX[,i],...)	FALSE	298
FUN(newX[,i],...)	FALSE	299
FUN(newX[,i],...)	FALSE	300
FUN(newX[,i],...)	FALSE	301
FUN(newX[,i],...)	FALSE	302
FUN(newX[,i],...)	FALSE	303
FUN(newX[,i],...)	FALSE	304
FUN(newX[,i],...)	FALSE	305
FUN(newX[,i],...)	FALSE	306
FUN(newX[,i],...)	FALSE	307
FUN(newX[,i],...)	FALSE	308
FUN(newX[,i],...)	FALSE	309
FUN(newX[,i],...)	FALSE	310
FUN(newX[,i],...)	FALSE	311
FUN(newX[,i],...)	FALSE	312
FUN(newX[,i],...)	FALSE	313
FUN(newX[,i],...)	FALSE	314
FUN(newX[,i],...)	FALSE	315
FUN(newX[,i],...)	FALSE	316
FUN(newX[,i],...)	FALSE	317
FUN(newX[,i],...)	FALSE	318
FUN(newX[,i],...)	FALSE	319
FUN(newX[,i],...)	FALSE	320
FUN(newX[,i],...)	FALSE	321
FUN(newX[,i],...)	FALSE	322
FUN(newX[,i],...)	FALSE	323
FUN(newX[,i],...)	FALSE	324
FUN(newX[,i],...)	FALSE	325
FUN(newX[,i],...)	FALSE	326
FUN(newX[,i],...)	FALSE	327
FUN(newX[,i],...)	FALSE	328
FUN(newX[,i],...)	FALSE	329
FUN(newX[,i],...)	FALSE	330
FUN(newX[,i],...)	FALSE	331
FUN(newX[,i],...)	FALSE	332
FUN(newX[,i],...)	FALSE	333
FUN(newX[,i],...)	FALSE	334
FUN(newX[,i],...)	FALSE	335
FUN(newX[,i],...)	FALSE	336
FUN(newX[,i],...)	FALSE	337
FUN(newX[,i],...)	FALSE	338
FUN(newX[,i],...)	FALSE	339
FUN(newX[,i],...)	FALSE	340
FUN(newX[,i],...)	FALSE	341
FUN(newX[,i],...)	FALSE	342
FUN(newX[,i],...)	FALSE	343
FUN(newX[,i],...)	FALSE	344
