"","clim","curve_1","curve_2","curve_3","curve_4","curve_5","curve_6","curve_7","curve_8","curve_9","curve_10","curve_11","curve_12","curve_13","curve_14","curve_15","curve_16","curve_17","curve_18","curve_19","curve_20","curve_21","curve_22","curve_23","curve_24","curve_25","curve_26","curve_27","curve_28","curve_29","curve_30","curve_31","curve_32","curve_33","curve_34","curve_35","curve_36","curve_37","curve_38","curve_39","curve_40","curve_41","curve_42","curve_43","curve_44","curve_45","curve_46"
"24.1",24.1,0.0163,7.26e-37,2.41e-35,7e-34,1.83e-32,4.37e-31,1.01e-29,2.25e-28,4.49e-27,8.2e-26,8.2e-26,1.42e-24,2.19e-23,3.27e-22,4.33e-21,5.53e-20,6.31e-19,6.93e-18,6.87e-17,6.34e-16,5.41e-15,4.25e-14,3.09e-13,2.1e-12,1.31e-11,7.66e-11,4.14e-10,2.06e-09,9.47e-09,4.05e-08,1.57e-07,5.82e-07,1.93e-06,6.21e-06,1.76e-05,4.84e-05,0.000119,0.000277,0.000587,0.00119,0.00205,0.00366,0.00593,0.00865,0.0111,0.0118
"24.2",24.2,0.0144,1.76e-37,6e-36,1.8e-34,4.83e-33,1.19e-31,2.83e-30,6.46e-29,1.33e-27,2.49e-26,2.49e-26,4.43e-25,7.04e-24,1.08e-22,1.47e-21,1.94e-20,2.28e-19,2.57e-18,2.62e-17,2.49e-16,2.19e-15,1.77e-14,1.32e-13,9.26e-13,5.94e-12,3.57e-11,1.98e-10,1.01e-09,4.8e-09,2.11e-08,8.4e-08,3.21e-07,1.1e-06,3.63e-06,1.06e-05,2.99e-05,7.57e-05,0.000181,0.000395,0.000825,0.00146,0.00268,0.00448,0.00672,0.00885,0.00972
"24.3",24.3,0.0126,4.21e-38,1.48e-36,4.55e-35,1.26e-33,3.18e-32,7.82e-31,1.83e-29,3.88e-28,7.49e-27,7.49e-27,1.37e-25,2.24e-24,3.55e-23,4.96e-22,6.71e-21,8.11e-20,9.43e-19,9.9e-18,9.67e-17,8.73e-16,7.26e-15,5.59e-14,4.02e-13,2.66e-12,1.64e-11,9.38e-11,4.94e-10,2.4e-09,1.09e-08,4.45e-08,1.75e-07,6.16e-07,2.1e-06,6.29e-06,1.83e-05,4.76e-05,0.000117,0.000263,0.000565,0.00103,0.00194,0.00334,0.00515,0.00699,0.00789
"24.4",24.4,0.0111,9.96e-39,3.59e-37,1.14e-35,3.25e-34,8.42e-33,2.13e-31,5.14e-30,1.12e-28,2.22e-27,2.22e-27,4.18e-26,7.03e-25,1.15e-23,1.65e-22,2.29e-21,2.85e-20,3.41e-19,3.69e-18,3.7e-17,3.44e-16,2.94e-15,2.33e-14,1.73e-13,1.17e-12,7.45e-12,4.39e-11,2.38e-10,1.19e-09,5.55e-09,2.33e-08,9.44e-08,3.42e-07,1.19e-06,3.69e-06,1.1e-05,2.95e-05,7.48e-05,0.000173,0.000382,0.000718,0.00139,0.00246,0.0039,0.00544,0.00632
"24.5",24.5,0.00974,2.33e-39,8.64e-38,2.82e-36,8.25e-35,2.2e-33,5.74e-32,1.42e-30,3.19e-29,6.52e-28,6.52e-28,1.26e-26,2.18e-25,3.66e-24,5.42e-23,7.75e-22,9.92e-21,1.22e-19,1.36e-18,1.4e-17,1.34e-16,1.18e-15,9.61e-15,7.32e-14,5.12e-13,3.34e-12,2.02e-11,1.13e-10,5.81e-10,2.79e-09,1.21e-08,5.02e-08,1.87e-07,6.73e-07,2.14e-06,6.58e-06,1.81e-05,4.72e-05,0.000112,0.000255,0.000493,0.000984,0.00179,0.00292,0.00419,0.00501
"24.6",24.6,0.00853,5.37e-40,2.05e-38,6.87e-37,2.07e-35,5.7e-34,1.53e-32,3.89e-31,8.97e-30,1.89e-28,1.89e-28,3.76e-27,6.68e-26,1.15e-24,1.76e-23,2.59e-22,3.4e-21,4.31e-20,4.93e-19,5.24e-18,5.15e-17,4.66e-16,3.91e-15,3.07e-14,2.21e-13,1.48e-12,9.23e-12,5.29e-11,2.81e-10,1.38e-09,6.16e-09,2.64e-08,1.01e-07,3.74e-07,1.22e-06,3.88e-06,1.1e-05,2.94e-05,7.2e-05,0.000168,0.000335,0.000687,0.00128,0.00216,0.00319,0.00392
"24.7",24.7,0.00745,1.22e-40,4.8e-39,1.66e-37,5.14e-36,1.45e-34,4.01e-33,1.05e-31,2.49e-30,5.4e-29,5.4e-29,1.11e-27,2.02e-26,3.59e-25,5.63e-24,8.52e-23,1.15e-21,1.5e-20,1.77e-19,1.94e-18,1.96e-17,1.82e-16,1.57e-15,1.27e-14,9.39e-14,6.49e-13,4.16e-12,2.45e-11,1.34e-10,6.79e-10,3.11e-09,1.37e-08,5.4e-08,2.06e-07,6.91e-07,2.25e-06,6.57e-06,1.81e-05,4.56e-05,0.00011,0.000224,0.000474,0.000911,0.00158,0.00239,0.00303
"24.8",24.8,0.00649,2.75e-41,1.11e-39,3.95e-38,1.26e-36,3.67e-35,1.04e-33,2.81e-32,6.85e-31,1.52e-29,1.52e-29,3.21e-28,6.05e-27,1.11e-25,1.78e-24,2.78e-23,3.87e-22,5.18e-21,6.27e-20,7.06e-19,7.34e-18,7.04e-17,6.25e-16,5.18e-15,3.95e-14,2.81e-13,1.85e-12,1.12e-11,6.3e-11,3.29e-10,1.55e-09,7.03e-09,2.85e-08,1.12e-07,3.86e-07,1.3e-06,3.88e-06,1.1e-05,2.85e-05,7.06e-05,0.000149,0.000323,0.000638,0.00114,0.00177,0.00231
"24.9",24.9,0.00565,6.12e-42,2.54e-40,9.29e-39,3.05e-37,9.13e-36,2.66e-34,7.4e-33,1.86e-31,4.25e-30,4.25e-30,9.22e-29,1.79e-27,3.36e-26,5.57e-25,8.92e-24,1.28e-22,1.76e-21,2.2e-20,2.54e-19,2.72e-18,2.68e-17,2.45e-16,2.09e-15,1.64e-14,1.2e-13,8.13e-13,5.08e-12,2.93e-11,1.57e-10,7.63e-10,3.56e-09,1.49e-08,5.99e-08,2.13e-07,7.35e-07,2.27e-06,6.61e-06,1.76e-05,4.49e-05,9.71e-05,0.000217,0.000442,0.000809,0.0013,0.00174
"25",25,0.00491,1.34e-42,5.75e-41,2.16e-39,7.3e-38,2.25e-36,6.74e-35,1.93e-33,4.97e-32,1.17e-30,1.17e-30,2.62e-29,5.21e-28,1.01e-26,1.72e-25,2.83e-24,4.18e-23,5.93e-22,7.59e-21,9.05e-20,9.96e-19,1.01e-17,9.5e-17,8.34e-16,6.72e-15,5.06e-14,3.53e-13,2.27e-12,1.35e-11,7.44e-11,3.71e-10,1.78e-09,7.64e-09,3.17e-08,1.16e-07,4.12e-07,1.31e-06,3.92e-06,1.08e-05,2.82e-05,6.27e-05,0.000144,0.000302,0.000569,0.000941,0.0013
