date,state,county,locality,habitat,latitude,longitude,masl,subfamily,ant.genus,ant.species,code,collection,collector
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Brachymyrmex,depilis,bradep,Wheeler ; Ants of NE,dimmock
1/1/1900,connecticut,hartford,suffield,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of CT,Dimmock
1/1/1900,connecticut,hartford,suffield,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of CT,Dimmock
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Ponerinae,Ponera,pennsylvanica,ponpen,Wheeler ; Ants of NE,dimmock
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Amblyoponinae,Stigmatomma,pallipes,stipal,Wheeler ; Ants of NE,dimmock
1/1/1900,connecticut,hartford,suffield,NA,NA,NA,NA,Amblyoponinae,Stigmatomma,pallipes,stipal,Wheeler ; Ants of CT,Dimmock
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Myrmicinae,Tetramorium,immigrans,tetimm,Wheeler ; Ants of NE,dimmock
1/1/1900,massachusetts,franklin,warwick,NA,NA,NA,NA,Formicinae,Camponotus,nearcticus,camnea,Wheeler ; Ants of NE,edmonds
1/1/1900,massachusetts,franklin,warwick,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,edmonds
1/1/1900,massachusetts,franklin,warwick,NA,NA,NA,NA,Formicinae,Formica,exsectoides,forexs,Wheeler ; Ants of NE,edmonds
1/1/1900,maine,cumberland,bridgeport,NA,NA,NA,NA,Formicinae,Lasius,americanus,lasame,Wheeler ; Ants of NE,edmonds
1/1/1900,massachusetts,franklin,warwick,NA,NA,NA,NA,Formicinae,Lasius,neoniger,lasneo,Wheeler ; Ants of NE,edmonds
1/1/1900,massachusetts,franklin,warwick,NA,NA,NA,NA,Formicinae,Prenolepis,imparis,preimp,Wheeler ; Ants of NE,edmonds
