"ddg.type","ddg.num","ddg.name","ddg.value","ddg.scope","ddg.from.env","ddg.time","ddg.loc","ddg.current"
"Snapshot",36,"random","./gENM_ddg/data/36-random.csv","0x7f9704dcc308",FALSE,"2016-07-28T14.17.51EDT","",TRUE
"Snapshot",37,"random_bc","./gENM_ddg/data/37-random_bc.csv","0x7f9704dcc308",FALSE,"2016-07-28T14.17.51EDT","",TRUE
"Snapshot",38,"random_bc","./gENM_ddg/data/38-random_bc.csv","0x7f9704dcc308",FALSE,"2016-07-28T14.17.51EDT","",TRUE
"Snapshot",39,"me","./gENM_ddg/data/39-me.txt","0x7f9704dcc308",FALSE,"2016-07-28T14.17.58EDT","",TRUE
"Snapshot",40,"e","./gENM_ddg/data/40-e.txt","0x7f9704dcc308",FALSE,"2016-07-28T14.18.01EDT","",TRUE
"Snapshot",41,"pred_me","./gENM_ddg/data/41-pred_me.txt","0x7f9704dcc308",FALSE,"2016-07-28T14.18.03EDT","",TRUE
"Snapshot",42,"out","./gENM_ddg/data/42-out.txt","0x7f9704dcc308",FALSE,"2016-07-28T14.18.03EDT","",TRUE
"Snapshot",43,"FUN(X[[i]],...) return","./gENM_ddg/data/43-FUN(X[[i]],...) return.txt","R_GlobalEnv",FALSE,"2016-07-28T14.18.03EDT","",TRUE
"Snapshot",44,"p","./gENM_ddg/data/44-p.txt","0x7f9705452a38",FALSE,"2016-07-28T14.18.03EDT","",TRUE
"Snapshot",45,"circ","./gENM_ddg/data/45-circ.txt","0x7f9705452a38",FALSE,"2016-07-28T14.18.05EDT","",TRUE
"Snapshot",46,"random","./gENM_ddg/data/46-random.txt","0x7f9705452a38",FALSE,"2016-07-28T14.18.05EDT","",TRUE
"Snapshot",47,"gsp_bc","./gENM_ddg/data/47-gsp_bc.csv","0x7f9705452a38",FALSE,"2016-07-28T14.18.06EDT","",TRUE
"Snapshot",48,"gsp_bc","./gENM_ddg/data/48-gsp_bc.csv","0x7f9705452a38",FALSE,"2016-07-28T14.18.06EDT","",TRUE
"Snapshot",49,"random_bc","./gENM_ddg/data/49-random_bc.csv","0x7f9705452a38",FALSE,"2016-07-28T14.18.06EDT","",TRUE
"Snapshot",50,"random","./gENM_ddg/data/50-random.csv","0x7f9705452a38",FALSE,"2016-07-28T14.18.06EDT","",TRUE
"Snapshot",51,"random","./gENM_ddg/data/51-random.csv","0x7f9705452a38",FALSE,"2016-07-28T14.18.06EDT","",TRUE
"Snapshot",52,"random_bc","./gENM_ddg/data/52-random_bc.csv","0x7f9705452a38",FALSE,"2016-07-28T14.18.06EDT","",TRUE
"Snapshot",53,"random_bc","./gENM_ddg/data/53-random_bc.csv","0x7f9705452a38",FALSE,"2016-07-28T14.18.06EDT","",TRUE
"Snapshot",54,"me","./gENM_ddg/data/54-me.txt","0x7f9705452a38",FALSE,"2016-07-28T14.18.08EDT","",TRUE
"Snapshot",55,"e","./gENM_ddg/data/55-e.txt","0x7f9705452a38",FALSE,"2016-07-28T14.18.09EDT","",TRUE
"Snapshot",56,"pred_me","./gENM_ddg/data/56-pred_me.txt","0x7f9705452a38",FALSE,"2016-07-28T14.18.11EDT","",TRUE
"Snapshot",57,"out","./gENM_ddg/data/57-out.txt","0x7f9705452a38",FALSE,"2016-07-28T14.18.11EDT","",TRUE
"Snapshot",58,"FUN(X[[i]],...) return","./gENM_ddg/data/58-FUN(X[[i]],...) return.txt","R_GlobalEnv",FALSE,"2016-07-28T14.18.11EDT","",TRUE
"Snapshot",59,"p","./gENM_ddg/data/59-p.txt","0x7f97058b8a70",FALSE,"2016-07-28T14.18.12EDT","",TRUE
"Snapshot",60,"circ","./gENM_ddg/data/60-circ.txt","0x7f97058b8a70",FALSE,"2016-07-28T14.18.22EDT","",TRUE
"Snapshot",61,"random","./gENM_ddg/data/61-random.txt","0x7f97058b8a70",FALSE,"2016-07-28T14.18.23EDT","",TRUE
"Snapshot",62,"gsp_bc","./gENM_ddg/data/62-gsp_bc.csv","0x7f97058b8a70",FALSE,"2016-07-28T14.18.25EDT","",TRUE
"Snapshot",63,"gsp_bc","./gENM_ddg/data/63-gsp_bc.csv","0x7f97058b8a70",FALSE,"2016-07-28T14.18.25EDT","",TRUE
"Snapshot",64,"random_bc","./gENM_ddg/data/64-random_bc.csv","0x7f97058b8a70",FALSE,"2016-07-28T14.18.26EDT","",TRUE
"Snapshot",65,"random","./gENM_ddg/data/65-random.csv","0x7f97058b8a70",FALSE,"2016-07-28T14.18.26EDT","",TRUE
"Snapshot",66,"random","./gENM_ddg/data/66-random.csv","0x7f97058b8a70",FALSE,"2016-07-28T14.18.26EDT","",TRUE
"Snapshot",67,"random_bc","./gENM_ddg/data/67-random_bc.csv","0x7f97058b8a70",FALSE,"2016-07-28T14.18.26EDT","",TRUE
"Snapshot",68,"random_bc","./gENM_ddg/data/68-random_bc.csv","0x7f97058b8a70",FALSE,"2016-07-28T14.18.26EDT","",TRUE
"Snapshot",69,"me","./gENM_ddg/data/69-me.txt","0x7f97058b8a70",FALSE,"2016-07-28T14.18.28EDT","",TRUE
"Snapshot",70,"e","./gENM_ddg/data/70-e.txt","0x7f97058b8a70",FALSE,"2016-07-28T14.18.30EDT","",TRUE
"Snapshot",71,"pred_me","./gENM_ddg/data/71-pred_me.txt","0x7f97058b8a70",FALSE,"2016-07-28T14.18.32EDT","",TRUE
"Snapshot",72,"out","./gENM_ddg/data/72-out.txt","0x7f97058b8a70",FALSE,"2016-07-28T14.18.32EDT","",TRUE
"Snapshot",73,"FUN(X[[i]],...) return","./gENM_ddg/data/73-FUN(X[[i]],...) return.txt","R_GlobalEnv",FALSE,"2016-07-28T14.18.32EDT","",TRUE
